CRN,Course #,Sc,Title,Attribute,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
30781,BIOL 394,5,DISSERTATION WRITING,,Var,5,0,Justin Thackeray,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30837,BIOL 394,6,DISSERTATION WRITING,,Var,5,0,Neva Meyer,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
33365,BIOL 396,1,MASTER'S THESIS,,Var,10,1,Javier Tabima Restrepo,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,N
31020,BIOL 396,2,MASTER'S THESIS,,Var,10,0,Robert Drewell,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,N
31024,BIOL 396,3,MASTER'S THESIS,,Var,5,0,Nathan Ahlgren,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,N
31033,BIOL 396,4,MASTER'S THESIS,,Var,10,0,Neva Meyer,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,N
31483,BIOL 396,5,MASTER'S THESIS,,Var,5,0,Justin Thackeray,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,N
30474,BIOL 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
31629,BLAW 262,1,BUSINESS ETHICS & LAW,VP,1.00,30,23,Steven Kennedy,T,06:00 PM - 09:00 PM,TC111,JR/SR ONLY,N
33101,CHEM 010,1,TOPICS IN CONTEMPRY CHEMISTRY,SP,1.00,20,14,Beth Bafaro,"MWF

W","09:00 AM - 09:50 AM

01:25 PM - 02:40 PM","S210

S210",,N
33807,CHEM 030,1,KITCHEN CHEMISTRY,SP,1.00,30,30,Don Spratt,"MWF

M","10:00 AM - 10:50 AM

01:25 PM - 02:40 PM","S122

S325",,N
30113,CHEM 102,1,INTRO TO CHEMISTRY II,SP,1.00,96,96,Julio D'Arcy,MWF,09:00 AM - 09:50 AM,S120,P=CHEM 101; MUST REG FOR LAB,N
30115,CHEM 102,901,LAB: INTRO TO CHEMISTRY II,SP,0.00,24,25,Beth Bafaro,M,01:25 PM - 05:30 PM,S210,,N
30116,CHEM 102,902,LAB: INTRO TO CHEMISTRY II,SP,0.00,24,23,Beth Bafaro,T,01:25 PM - 05:30 PM,S210,,N
30117,CHEM 102,903,LAB: INTRO TO CHEMISTRY II,SP,0.00,24,26,Beth Bafaro,R,01:25 PM - 05:30 PM,S210,,N
33806,CHEM 102,904,LAB: INTRO TO CHEMISTRY II,SP,0.00,24,22,Beth Bafaro,F,01:25 PM - 05:30 PM,S210,,N
30376,CHEM 132,1,ORGANIC CHEMISTRY II,,1.00,44,39,Charles Jakobsche,MWF,11:00 AM - 11:50 AM,S120,P=CHEM 131; MUST REG FOR LAB,N
30378,CHEM 132,901,LAB:ORGANIC CHEMISTRY II,,0.00,16,13,Efrain Castro Narro,M,01:25 PM - 05:30 PM,S311,,N
30379,CHEM 132,902,LAB: ORGANIC CHEMISTRY II,,0.00,16,16,Efrain Castro Narro,T,01:25 PM - 05:30 PM,S311,,N
33265,CHEM 132,903,LAB: ORGANIC CHEMISTRY II,,0.00,12,10,Efrain Castro Narro,R,01:25 PM - 05:30 PM,S311,,N
30326,CHEM 140,1,ANALYTICAL CHEMISTRY,,1.00,12,10,Luis Smith,"MW

F","12:00 PM - 01:15 PM

01:25 PM - 05:30 PM","S210

S223",P= CHEM 102 OR CHEM 103,N
30799,CHEM 199,0,INTRODUCTION TO RESEARCH,,Var,0,0,,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
30835,CHEM 199,1,INTRODUCTION TO RESEARCH,,0.25,10,2,Don Spratt,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140,Y
30849,CHEM 199,2,INTRODUCTION TO RESEARCH,,Var,10,0,Mark Turnbull,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140 MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
30852,CHEM 199,3,INTRODUCTION TO RESEARCH,,Var,10,0,Arundhati Nag,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
30866,CHEM 199,4,INTRODUCTION TO RESEARCH,,0.50,10,0,Sergio Granados-Focil,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140,Y
30870,CHEM 199,5,INTRODUCTION TO RESEARCH,,Var,10,0,Luis Smith,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
31031,CHEM 199,6,INTRODUCTION TO RESEARCH,,Var,10,0,Charles Jakobsche,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
32031,CHEM 199,7,INTRODUCTION TO RESEARCH,,0.25,10,2,Noel Lazo,-,-,-,GRADED PASS/FAIL; P=CHEM 103 OR 131 OR 140,Y
30605,CHEM 250,1,INORGANIC CHEMISTRY,,1.00,12,6,Julio D'Arcy,"TR

R","10:25 AM - 11:40 AM

01:25 PM - 05:30 PM","S311

S320",P=CHEM 131 & CHEM 132 OR CHEM 140 OR BCMB 271,N
33808,CHEM 256,1,INORGANIC MATERIALS,,1.00,16,7,Luis Smith,TR,09:00 AM - 10:15 AM,S210,P=CHEM 102 OR 103 and PHYS 111 or 121,N
31166,CHEM 262,1,PHYSICAL CHEMISTRY II,,1.00,12,6,Shuanghong Huo,"MWF

M","11:00 AM - 11:50 AM

01:25 PM - 05:30 PM","S321

S222",P=CHEM 260,N
30034,CHEM 297,3,HONORS,,1.00,10,0,Charles Jakobsche,-,-,-,,Y
30663,CHEM 297,5,HONORS,,1.00,10,0,Don Spratt,-,-,-,,Y
30386,CHEM 297,6,HONORS,,1.00,10,0,Sergio Granados-Focil,-,-,-,,Y
30760,CHEM 297,7,HONORS,,1.00,10,0,Mark Turnbull,-,-,-,,Y
30448,CHEM 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30534,CHEM 317,1,RESEARCH,,Var,10,1,Luis Smith,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30535,CHEM 317,2,RESEARCH,,Var,10,2,Sergio Granados-Focil,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30759,CHEM 317,3,RESEARCH,,Var,10,0,Arundhati Nag,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30536,CHEM 317,4,RESEARCH,,Var,10,0,Shuanghong Huo,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30537,CHEM 317,5,RESEARCH,,Var,10,0,Charles Jakobsche,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30538,CHEM 317,6,RESEARCH,,Var,10,0,Noel Lazo,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30539,CHEM 317,7,RESEARCH,,Var,10,0,Mark Turnbull,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30613,CHEM 317,8,RESEARCH,,Var,10,0,Don Spratt,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32332,CHEM 317,9,RESEARCH,,Var,10,3,Julio D'Arcy,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30606,CHEM 350,1,INORGANIC CHEMISTRY,,1.00,12,6,Julio D'Arcy,"TR

R","10:25 AM - 11:40 AM

01:25 PM - 05:30 PM","S311

S320",,N
33809,CHEM 356,1,INORGANIC MATERIALS,,1.00,16,7,Luis Smith,TR,09:00 AM - 10:15 AM,S210,,N
31167,CHEM 362,1,PHYSICAL CHEMISTRY II,,1.00,12,6,Shuanghong Huo,"MWF

M","11:00 AM - 11:50 AM

01:25 PM - 05:30 PM","S321

S222",P=CHEM 360,N
30415,CHEM 380,1,RESEARCH SEMINAR,,Var,24,13,Luis Smith,TF,12:00 PM - 01:15 PM,S122,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION; GRADED PASS/FAIL; CONTACT DEPT FOR LETTER GRADE OPTION,N
30469,CHEM 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30228,CHIN 102,1,ELEMENTARY CHINESE II,LP,1.00,19,10,Lili Foti,MF,09:00 AM - 10:15 AM,ES303,P=CHIN 101; MUST REG FOR DISC,N
30229,CHIN 102,901,DISC: ELEMENTARY CHINESE II,LP,0.00,10,7,Lili Foti,R,04:00 PM - 04:50 PM,ES420,,N
30428,CHIN 102,902,DISC: ELEMENTARY CHINESE II,LP,0.00,9,3,Lili Foti,R,05:00 PM - 05:50 PM,ES420,,N
32447,CLAS 124,1,INTRO TO CLASSICAL MYTHOLOGY,,1.00,19,15,Chris Synodinos,TR,06:00 PM - 07:15 PM,ES414,,N
33148,CLAS 127,1,FROM HERODOTUS TO EUSEBIUS,HP,1.00,19,9,Chris Synodinos,TR,07:20 PM - 08:35 PM,ES414,,N
30637,CLAS 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
34032,CMLT 125,1,INTRO ENVIRONM'TL HUMANITIES,"DI

GP",1.00,19,18,Christina Gerhardt,MR,02:50 PM - 04:05 PM,ASEC303,,N
30188,CMLT 130,1,NATIONAL IMAGINATION,GP,1.00,44,42,"Maria Acosta Cruz, Allison Fong, Christina Gerhardt",MR,01:25 PM - 02:40 PM,JC217,10 SEATS RESERVED FOR FIRST YEARS,N
33890,CMLT 208,1,CARIBBEAN WOMEN WRITERS,HP,1.00,19,11,Odile Ferly,MR,01:25 PM - 02:40 PM,ES303,,N
33683,CRW 106,1,CREATIVE WRITING: FICTION,AP,1.00,15,14,Jacques Denault,MW,04:15 PM - 05:30 PM,LEIR I,P=IDND 018 OR WRIT'G PLCMNT; 3 SEATS RESERVED FOR 1ST YR STUDENTS; 3 SEATS RESERVED FOR SOPH STUDENTS,N
33177,CRW 106,2,CREATIVE WRITING: FICTION,AP,1.00,15,18,Jacqueline Morrill,W,09:00 AM - 11:50 AM,BP220,P= IDND 018 OR WRIT'G PLCMNT,N
33282,CRW 107,1,CREATIVE WRITING: POETRY,AP,1.00,15,14,Jonathan Volk,M,09:00 AM - 11:50 AM,JF202,P=IDND 018 OR WRIT'G PLCMNT,N
33536,CRW 107,2,CREATIVE WRITING: POETRY,AP,1.00,15,16,Reginald Gibson,R,02:50 PM - 05:50 PM,JC204,P=IDND 018 OR WRIT'G PLCMNT,N
33176,CRW 111,1,CREATIVE WRITING:NONFICTION,,1.00,15,13,Heather Macpherson,M,06:00 PM - 09:00 PM,JF202,P= IDND 018 OR WRIT'G PLCMNT,N
33283,CRW 112,1,CREATING CHARACTER,"AP

DI",1.00,15,16,Jane Dykema,TR,09:00 AM - 10:15 AM,S223,P=IDND 018 OR WRIT'G PLCMNT,N
33183,CRW 206,1,WRITING THE NOVEL,,1.00,15,16,Phil Lemos,F,01:25 PM - 04:25 PM,LEIR I,P=ONE 100-LEVEL ENG OR CRW COURSE (100-199),N
33701,CRW 208,1,WRITING THE BORDERLANDS,"DI

GP",1.00,15,13,Mandy Gutmann-Gonzalez,M,02:50 PM - 05:50 PM,TC305,"P=ONE 100 LEVEL CRW, ENG, OR SPAN COURSE",N
33684,CRW 213,1,UTOPIAS & DYSTOPIAS,DI,1.00,15,17,Phil Lemos,F,09:00 AM - 11:50 AM,S223,P=ANY 100 LEVEL ENG OR CRW COURSE OR PERM,N
31385,CSCI 120,1,INTRODUCTION TO COMPUTING,SP,1.00,35,32,Catalin Veghes,"MW

F","12:00 PM - 01:15 PM

12:00 PM - 01:15 PM","MACD002

MACD002",LAPTOP REQUIRED,N
32760,CSCI 120,2,INTRODUCTION TO COMPUTING,SP,1.00,35,24,Ron Lin,"MR

F","01:25 PM - 02:40 PM

01:25 PM - 02:40 PM","MACD002

MACD117","LAPTOP REQUIRED; 1ST YRS, SOPH & JRS ONLY",N
30158,CSCI 121,1,DATA STRUCTURES,SP,1.00,35,27,Hyungsin Kim,"MF

F","10:25 AM - 11:40 AM

12:00 PM - 01:15 PM","MACD117

MACD117",P=CSCI 120 OR 124,N
31207,CSCI 121,2,DATA STRUCTURES,SP,1.00,35,34,Hyungsin Kim,"MW

W","12:00 PM - 01:15 PM

10:25 AM - 11:40 AM","MACD117

MACD117",P=CSCI 120 OR 124,N
31715,CSCI 122,1,INTRO TO DISCRETE STRUCTURES,FA,1.00,18,20,Peter Story,"TR

T","09:00 AM - 10:15 AM

12:00 PM - 01:15 PM","MACD310

MACD117",P=CSCI 120 OR 124 & MATH 119 OR 120 OR 124 OR PERM,N
34026,CSCI 122,2,INTRO TO DISCRETE STRUCTURES,FA,1.00,18,10,Peter Story,"TR

T","10:25 AM - 11:40 AM

04:15 PM - 05:30 PM","MACD310

MACD117",P=CSCI 120 OR 124 & MATH 119 OR 120 OR 124 OR PERM,N
30800,CSCI 140,1,ASSEMBLY LANG & COMPUTER ORG,,1.00,30,41,Kenneth Basye,"MR

M","01:25 PM - 02:40 PM

04:15 PM - 05:30 PM","MACD117

MACD117",P=CSCI 121 OR 124,N
33150,CSCI 160,1,ALGORITHMS,,1.00,30,9,Ron Lin,"MR

F","02:50 PM - 04:05 PM

02:50 PM - 04:05 PM","MACD002

MACD002",P=CSCI 121 & CSCI 122 OR MATH 114,N
34027,CSCI 170,1,ANALYSIS OF PROG LANGUAGE,,1.00,30,30,Li Han,"T

TR","12:00 PM - 01:15 PM

10:25 AM - 11:40 AM","MACD002

MACD002",P=CSCI 121 & MATH 114 OR CSCI 122,N
34029,CSCI 201,1,PROSEM: DEVELOPM'NT OPERATIONS,,1.00,30,15,Pawan Gupta,"TR

TR

M

M","06:00 PM - 07:15 PM

06:00 PM - 07:15 PM

06:00 PM - 07:15 PM

06:00 PM - 07:15 PM","MACD103

MACD104

MACD103

MACD104",,N
34028,CSCI 215,1,OPERATING SYSTEMS,,1.00,18,8,Pawan Gupta,"M

TR","04:15 PM - 05:30 PM

04:15 PM - 05:30 PM","MACD310

MACD310",,N
30615,CSCI 297,4,HONORS,,1.00,10,0,Shuo Niu,-,-,-,,Y
31036,CSCI 297,5,HONORS,,1.00,10,0,Kenneth Basye,-,-,-,,Y
31991,CSCI 297,6,HONORS,,1.00,10,0,Peter Story,-,-,-,,Y
30442,CSCI 298,0,INTERNSHIP,,Var,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30449,CSCI 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
31705,CSCI 301,1,INTRODUCTION TO COMPUTING,,1.00,35,32,Catalin Veghes,"MW

F","12:00 PM - 01:15 PM

12:00 PM - 01:15 PM","MACD002

MACD002",LAPTOP REQUIRED,N
32191,CSCI 302,1,DATA STRUCTURES,,1.00,35,27,Hyungsin Kim,"F

MF","12:00 PM - 01:15 PM

10:25 AM - 11:40 AM","MACD117

MACD117",P=CSCI 301,N
33756,CYES 222,1,UNIVERSAL DESIGN FOR LEARNING,"DI

POP",1.00,20,17,Cara Berg Powers,MWF,12:00 PM - 12:50 PM,JC102,P/CO REQ=EDUC 060 OR 152,N
30906,CYES 290,1,PRAXIS DESIGN SEMINAR,,1.00,20,8,Jie Park,F,01:25 PM - 04:25 PM,JC102,JR CYES MAJORS ONLY,N
30905,CYES 294,1,PRAXIS THESIS CAPSTONE,,1.00,20,18,Jie Park,F,09:00 AM - 11:50 AM,JC102,P=CYES 290/295 & CYES 292/296,N
30699,CYES 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30698,CYES 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
33149,DSCI 103,1,"DATA, COMPUTING & SOCIETY","DI

FA",1.00,30,31,Li Han,TR,09:00 AM - 10:15 AM,MACD002,LAPTOP REQ'D,N
32643,DSCI 125,1,INTRODUCTION TO DATA SCIENCE,POP,1.00,30,27,Shuo Niu,"TF

T","02:50 PM - 04:05 PM

04:15 PM - 05:30 PM","MACD117

MACD002","P=CSCI 120/124 & P=GEOG 110, ECON 160, SOC 202, PSYC 105, PSCI 107, QBUS 110, MATH 120, OR MATH 124",N
34044,DSCI 215,1,APPLY'G DEEP LEARN'G EARTH OBS,,1.00,15,8,Lyndon Estes,"R

MW","04:15 PM - 05:30 PM

04:15 PM - 05:30 PM","MACD002

MACD002",P=GEOG 293 & DSCI 105 OR 125 OR CSCI 120,N
32552,DSCI 225,1,APPLIED MACHINE LEARNING,POP,1.00,30,36,Catalin Veghes,"MF

W","09:00 AM - 10:15 AM

09:00 AM - 10:15 AM","MACD117

MACD117",P=DSCI 105 OR 125 & DSCI 122 & CSCI 121,N
32644,DSCI 304,1,INTRODUCTION TO DATA SCIENCE,,1.00,30,27,Shuo Niu,"TF

T","02:50 PM - 04:05 PM

04:15 PM - 05:30 PM","MACD117

MACD002",P=CSCI 301; BACKGROUND IN CALCULUS REQUIRED,Y
33488,DSCI 325,1,APPLIED MACHINE LEARNING,,1.00,30,36,Catalin Veghes,"MF

W","09:00 AM - 10:15 AM

09:00 AM - 10:15 AM","MACD117

MACD117",P=DSCI 304 OR 305,Y
30165,ECON 010,1,ECONOMICS & THE WORLD ECONOMY,GP,1.00,40,32,Kensuke Suzuki,MWF,10:00 AM - 10:50 AM,JC104,MUST REG FOR DISC 901 OR 902,N
30166,ECON 010,2,ECONOMICS & THE WORLD ECONOMY,GP,1.00,40,31,Sang Hoo Bae,TR,09:00 AM - 10:15 AM,JC118,MUST REG FOR DISC 903 OR 904,N
33849,ECON 010,3,ECONOMICS & THE WORLD ECONOMY,GP,1.00,40,26,Jon Denton-Schneider,TF,01:25 PM - 02:40 PM,JC104,MUST REG FOR DISC 905 OR 906,N
30891,ECON 010,901,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,19,Kensuke Suzuki,T,12:00 PM - 12:50 PM,S311,,N
30892,ECON 010,902,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,13,Kensuke Suzuki,T,05:00 PM - 05:50 PM,JC104,,N
30893,ECON 010,903,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,18,Sang Hoo Bae,F,09:00 AM - 09:50 AM,BP220,,N
30894,ECON 010,904,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,13,Sang Hoo Bae,F,11:00 AM - 11:50 AM,S210,,N
33850,ECON 010,905,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,14,Jon Denton-Schneider,W,09:00 AM - 09:50 AM,B124,,N
33851,ECON 010,906,DISC: ECON & THE WORLD ECONOMY,GP,0.00,20,12,Jon Denton-Schneider,W,04:00 PM - 04:50 PM,S210,,N
30167,ECON 011,1,PRINCIPLES OF ECONOMICS,FA,1.00,40,31,Jacqueline Geoghegan,MR,01:25 PM - 02:40 PM,JC220,P=ECON 010; MUST REGISTER FOR DISC 901 OR 902,N
30897,ECON 011,901,DISC: PRINCIPLES OF ECONOMICS,FA,0.00,20,19,Jacqueline Geoghegan,F,10:00 AM - 10:50 AM,BP220,,N
30898,ECON 011,902,DISC: PRINCIPLES OF ECONOMICS,FA,0.00,20,12,Jacqueline Geoghegan,F,03:00 PM - 03:50 PM,S311,,N
30168,ECON 160,1,INTRO TO STATISTICAL ANALYSIS,FA,1.00,35,32,Magda Tsaneva,TF,12:00 PM - 01:15 PM,JC206,P=ECON 010; MUST REG FOR LAB;,N
30169,ECON 160,901,LAB: INTRO TO STAT ANALYSIS,FA,0.00,18,19,Magda Tsaneva,W,10:00 AM - 10:50 AM,JC103,,N
30170,ECON 160,902,LAB: INTRO TO STAT ANALYSIS,FA,0.00,17,13,Magda Tsaneva,W,05:00 PM - 05:50 PM,JC105,,N
30611,ECON 206,1,MACROECONOMIC THEORY,,1.00,40,24,Kensuke Suzuki,MW,12:00 PM - 01:15 PM,JC104,P=ECON 010 & 011,N
33852,ECON 228,1,ECONOMIC DEVELOPMENT,,1.00,25,9,Jon Denton-Schneider,TF,02:50 PM - 04:05 PM,JC104,P=ECON 011,N
33853,ECON 232,1,POL EVAL & EDUC DEV COUNTRIES,,1.00,40,13,Magda Tsaneva,TR,10:25 AM - 11:40 AM,JC120,P=ECON 010 & 011 & ECON 160 OR GEOG 110 OR PSYC 105,N
33855,ECON 253,1,NATURAL RESOURCE ECONOMICS,,1.00,25,11,Dana Bauer,TF,12:00 PM - 01:15 PM,JC104,P=ECON 010 & 011 & 160,N
30171,ECON 265,1,ECONOMETRICS,,1.00,26,24,Moshi Alam,TR,09:00 AM - 10:15 AM,JC106,P=ECON 011 AND 160; MUST REG FOR LAB,N
30796,ECON 265,901,LAB: ECONOMETRICS,,0.00,13,12,Moshi Alam,W,09:00 AM - 09:50 AM,JC103,,N
33856,ECON 265,902,LAB: ECONOMETRICS,,0.00,13,12,Moshi Alam,W,04:00 PM - 04:50 PM,JC105,,N
30038,ECON 297,1,HONORS,,1.00,15,7,Wayne Gray,M,11:00 AM - 11:50 AM,JC117,,Y
30450,ECON 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30175,ECON 302,1,MICROECONOMICS-TOPICS,,1.00,15,12,Sang Hoo Bae,MR,02:50 PM - 04:05 PM,BP316,P=ECON 301,N
32985,ECON 304,1,MACROECONOMICS II: BUSINESS,,1.00,15,12,Mansoor Saleem,TR,09:00 AM - 10:15 AM,BP316,P=ECON 303,N
30503,ECON 317,1,RESEARCH,,Var,10,0,Sang Hoo Bae,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30506,ECON 317,2,RESEARCH,,Var,10,1,Jon Denton-Schneider,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32662,ECON 317,3,RESEARCH,,Var,10,1,Magda Tsaneva,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30512,ECON 317,4,RESEARCH,,Var,10,1,Wayne Gray,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30515,ECON 317,5,RESEARCH,,Var,10,0,Edouard Wemy,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30518,ECON 317,6,RESEARCH,,Var,10,0,Robert Johnston,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32977,ECON 317,7,RESEARCH,,Var,10,5,Kensuke Suzuki,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30521,ECON 317,8,RESEARCH,,Var,10,0,Junfu Zhang,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30598,ECON 317,9,RESEARCH,,Var,10,0,David Cuberes,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRAITON,Y
33854,ECON 332,1,POLICY EVALUATION,,1.00,40,13,Magda Tsaneva,TR,10:25 AM - 11:40 AM,JC120,P=ECON 302,N
30177,ECON 365,1,BASIC ECONOMETRIC THEORY,,1.00,22,18,Aghil Alaee Khangha,TF,12:00 PM - 01:15 PM,BP316,,N
33845,ECON 368,1,RSRCH SM:FORMULAT'G RSRCH PROJ,,1.00,30,5,Wayne Gray,M,04:15 PM - 05:30 PM,JC117,P=ECON 301 OR 302,N
33846,ECON 377,1,URBAN ECONOMICS,,1.00,10,6,Junfu Zhang,MW,12:00 PM - 01:15 PM,JC117,P=ECON 302,N
30504,ECON 385,1,PHD PROPOSAL WRITING,,Var,10,0,Sang Hoo Bae,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30507,ECON 385,2,PHD PROPOSAL WRITING,,Var,10,1,Jon Denton-Schneider,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30510,ECON 385,3,PHD PROPOSAL WRITING,,Var,10,0,Jacqueline Geoghegan,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30513,ECON 385,4,PHD PROPOSAL WRITING,,Var,10,4,Wayne Gray,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30516,ECON 385,5,PHD PROPOSAL WRITING,,Var,10,2,Edouard Wemy,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30519,ECON 385,6,PHD PROPOSAL WRITING,,Var,10,0,Robert Johnston,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32978,ECON 385,7,PHD PROPOSAL WRITING,,Var,10,0,Kensuke Suzuki,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30522,ECON 385,8,PHD PROPOSAL WRITING,,Var,10,4,Junfu Zhang,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30599,ECON 385,9,PHD PROPOSAL WRITING,,Var,10,0,David Cuberes,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30600,ECON 385,10,PHD PROPOSAL WRITING,,Var,10,0,Magda Tsaneva,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30505,ECON 394,1,DISSERTATION WRITING,,Var,10,1,Sang Hoo Bae,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30508,ECON 394,2,DISSERTATION WRITING,,Var,10,0,Jon Denton-Schneider,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32979,ECON 394,3,DISSERTATION WRITING,,Var,10,0,Kensuke Suzuki,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30514,ECON 394,4,DISSERTATION WRITING,,Var,10,1,Wayne Gray,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30517,ECON 394,5,DISSERTATION WRITING,,Var,10,1,Edouard Wemy,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30520,ECON 394,6,DISSERTATION WRITING,,Var,10,1,Robert Johnston,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
31030,ECON 394,7,DISSERTATION WRITING,,Var,10,2,David Cuberes,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
